Mass [Solar Mass], Radius [Solar Radii]
1.2988004143934742, 0.0036244194866660692
1.305714457123524, 0.003497574348885078
1.318247468036191, 0.0032544545623215235
1.3291937762434705, 0.0030250553753897094
1.3387155662853503, 0.002808919077269999
1.3469665266981423, 0.002605578170769957
1.3540904534990759, 0.002414556782005787
1.3602203833491222, 0.0022353721580122866
1.3654781685732909, 0.0020675362857560235
1.3699744109659033, 0.0019105576459460104
1.3738086780793861, 0.0017639430946401738
1.3770699336236298, 0.001627199848365264
1.3798371220767924, 0.0014998375370059976
1.3821798564252759, 0.0013813702787068202
1.384159166341166, 0.0012713187293428485
1.3858282722316848, 0.001169212058091403
1.3872333579747955, 0.0010745898046630872
1.3884143217301699, 0.00098700357998002
1.3894054899803128, 0.0009060185798473407
1.3902362847248158, 0.0008312148899461036
1.390931837824313, 0.0007621885690374177
